Player;Date;Day;Comp;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Succ;Match Report;SoTA;GA;Saves;Save%;CS;PSxG;PKA;PKsv;PKm;Att (GK);Thr;Launch%;AvgLen;Opp;Stp;Stp%;#OPA;AvgDist
Oussama Targhalline;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 1–2;Le Havre;Marseille;Y;DM;90;0;0;0;0;0;0;0;0;81;1;3;0;0.0;0.0;0.0;2;0;64;3;86.5;3;68;3;2;Match Report;;;;;;;;;;;;;;;;;;
James Tarkowski;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Everton;Arsenal;Y;CB;90;0;0;0;0;0;0;1;0;35;3;0;3;0.0;0.0;0.0;0;0;14;1;63.6;2;14;0;1;Match Report;;;;;;;;;;;;;;;;;;
César Tárrega;2024-05-19;Sun;La Liga 2;Matchweek 40;Away;D 1–1;Valladolid;Alcorcón;Y;CB;90;0;0;0;0;2;0;0;0;;;1;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Jimi Tauriainen;2024-05-19;Sun;PL2;Semi-finals;Away;L 1–2;Chelsea;Tottenham Hotspur;Y;DM;66;0;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Marcus Tavernier;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Bournemouth;Chelsea;Y;LW;58;0;0;0;0;2;1;0;0;39;3;0;1;0.1;0.1;0.3;8;0;28;0;93.3;2;23;2;0;Match Report;;;;;;;;;;;;;;;;;;
Marciano Tchami;2024-05-19;Sun;La Liga 2;Matchweek 40;Home;D 1–1;Alcorcón;Valladolid;N;;19;0;0;0;0;0;0;0;0;;;0;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Marc-André ter Stegen;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 3–0;Barcelona;Rayo Vallecano;Y;GK;90;;;;0;;;;;;;;;;;;;;3;12;100.0;;;;;Match Report;4;0;4;100.0;1;0.5;0;0;0;20;3;16.7;31.1;11;0;0.0;0;16.0
Ramón Terrats;2024-05-19;Sun;La Liga;Matchweek 37;Home;D 4–4;Villarreal;Real Madrid;N;LB;11;0;0;0;0;0;0;0;0;22;0;0;1;0.0;0.0;0.0;0;0;13;1;72.2;1;8;1;0;Match Report;;;;;;;;;;;;;;;;;;
Martin Terrier;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 1–2;Rennes;Reims;Y;FW,AM;90;0;0;0;0;2;1;0;0;30;0;1;1;0.2;0.2;0.0;1;0;19;3;82.6;1;22;0;1;Match Report;;;;;;;;;;;;;;;;;;
Kenny Tete;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Fulham;Luton Town;Y;RB;90;0;0;0;0;0;0;0;0;70;5;0;0;0.0;0.0;0.0;3;2;45;1;80.4;7;36;1;0;Match Report;;;;;;;;;;;;;;;;;;
Teddy Teuma;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Reims;Rennes;Y;LM;60;0;0;0;0;1;0;0;0;37;2;1;0;0.0;0.0;0.0;0;0;26;1;78.8;6;28;1;1;Match Report;;;;;;;;;;;;;;;;;;
Adrien Thomasson;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lens;Montpellier;N;AM;21;0;0;0;0;1;0;0;0;24;0;0;1;0.2;0.2;0.5;4;0;17;0;81.0;0;17;0;0;Match Report;;;;;;;;;;;;;;;;;;
Morten Thorsby;2024-05-19;Sun;Serie A;Matchweek 37;Away;L 0–1;Genoa;Roma;N;CM;24;0;0;0;0;1;1;0;0;8;0;0;1;0.1;0.1;0.0;1;0;3;0;50.0;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Kristian Thorstvedt;2024-05-19;Sun;Serie A;Matchweek 37;Home;L 0–2;Sassuolo;Cagliari;Y;CM,DM;56;0;0;0;0;0;0;1;0;34;1;0;0;0.0;0.0;0.0;1;0;15;2;62.5;2;16;0;0;Match Report;;;;;;;;;;;;;;;;;;
Khéphren Thuram;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Nice;Lille;Y;CM,DM;90;0;0;0;0;0;0;1;0;54;1;1;1;0.0;0.0;0.0;0;0;40;2;87.0;2;43;0;2;Match Report;;;;;;;;;;;;;;;;;;
Marcus Thuram;2024-05-19;Sun;Serie A;Matchweek 37;Home;D 1–1;Inter;Lazio;Y;FW;90;0;0;0;0;3;1;0;0;23;0;0;0;0.5;0.5;0.1;4;0;13;0;92.9;0;8;0;0;Match Report;;;;;;;;;;;;;;;;;;
Cheikh Tidiane Sabaly;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–2;Metz;Paris S-G;N;LW;17;0;0;0;0;0;0;0;0;6;0;0;0;0.0;0.0;0.0;2;0;4;1;100.0;1;4;1;0;Match Report;;;;;;;;;;;;;;;;;;
Kieran Tierney;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–0;Real Sociedad;Betis;Y;LB,CB;66;0;0;0;0;0;0;0;0;50;1;0;1;0.0;0.0;0.0;0;0;30;0;73.2;2;21;0;0;Match Report;;;;;;;;;;;;;;;;;;
Jurriën Timber;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Arsenal;Everton;N;RB;22;0;0;0;0;0;0;1;0;28;1;0;1;0.0;0.0;0.0;0;0;22;1;88.0;1;22;0;1;Match Report;;;;;;;;;;;;;;;;;;
Jean-Clair Todibo;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Nice;Lille;Y*;CB;74;0;0;0;0;0;0;0;0;41;2;1;0;0.0;0.0;0.0;0;0;29;3;87.9;1;30;0;1;Match Report;;;;;;;;;;;;;;;;;;
Harry Toffolo;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–1;Nott'ham Forest;Burnley;Y;LB,LM;90;0;0;0;0;0;0;0;0;35;0;1;2;0.0;0.0;0.0;0;0;20;0;76.9;1;6;0;0;Match Report;;;;;;;;;;;;;;;;;;
Corentin Tolisso;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 2–1;Lyon;Strasbourg;Y;CM;67;0;0;0;0;2;2;0;0;46;1;0;0;0.4;0.4;0.1;3;0;36;1;87.8;7;36;0;0;Match Report;;;;;;;;;;;;;;;;;;
Takehiro Tomiyasu;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Arsenal;Everton;Y;LB,CB;90;1;0;0;0;4;1;0;0;64;0;2;2;0.5;0.5;0.0;2;0;44;0;89.8;8;37;0;0;Match Report;;;;;;;;;;;;;;;;;;
James Tomkins;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 5–0;Crystal Palace;Aston Villa;N;CB;4;0;0;0;0;0;0;0;0;11;0;0;0;0.0;0.0;0.0;0;0;10;0;100.0;1;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
Ivan Toney;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Brentford;Newcastle Utd;Y;FW;90;0;1;0;0;4;2;1;0;33;1;0;1;0.6;0.6;0.0;2;1;14;2;70.0;2;20;1;1;Match Report;;;;;;;;;;;;;;;;;;
Raúl Torrente;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–2;Granada;Celta Vigo;Y;CB;72;0;0;0;0;0;0;1;0;49;3;0;0;0.0;0.0;0.0;0;0;28;0;63.6;1;27;0;0;Match Report;;;;;;;;;;;;;;;;;;
Lucas Torró;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 4–1;Osasuna;Atlético Madrid;Y;CM;90;1;0;0;0;4;2;0;0;51;0;1;1;0.3;0.3;0.0;2;1;31;1;77.5;5;24;0;1;Match Report;;;;;;;;;;;;;;;;;;
Andros Townsend;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Luton Town;Fulham;N;RM;15;0;0;0;0;0;0;0;0;5;0;0;0;0.0;0.0;0.0;0;0;2;1;100.0;0;3;1;1;Match Report;;;;;;;;;;;;;;;;;;
Bénie Traoré;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–4;Nantes;Monaco;Y;FW;61;0;0;0;0;2;1;0;0;28;0;0;1;0.3;0.3;0.0;2;0;12;7;66.7;4;17;3;4;Match Report;;;;;;;;;;;;;;;;;;
Bertrand Traoré;2024-05-19;Sun;La Liga;Matchweek 37;Home;D 4–4;Villarreal;Real Madrid;N;RM;45;0;0;0;0;2;1;1;0;28;1;0;1;0.1;0.1;0.0;1;1;14;5;82.4;4;16;1;2;Match Report;;;;;;;;;;;;;;;;;;
Daouda Traoré;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;D 2–2;Nice;Lille;N;AM;16;0;0;0;0;1;0;0;0;11;0;0;0;0.1;0.1;0.0;1;0;9;1;100.0;1;8;1;0;Match Report;;;;;;;;;;;;;;;;;;
Hamari Traoré;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–0;Real Sociedad;Betis;Y;RB;75;0;0;0;0;0;0;1;0;43;2;1;3;0.0;0.0;0.0;0;0;19;1;67.9;2;12;2;0;Match Report;;;;;;;;;;;;;;;;;;
Kieran Trippier;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Newcastle Utd;Brentford;N;RB;10;0;0;0;0;0;0;0;0;12;0;0;1;0.0;0.0;0.0;0;0;10;0;90.9;0;9;0;0;Match Report;;;;;;;;;;;;;;;;;;
Leandro Trossard;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Arsenal;Everton;Y;LW;77;0;0;0;0;1;0;0;0;42;0;0;3;0.0;0.0;0.2;2;0;28;1;82.4;2;30;3;0;Match Report;;;;;;;;;;;;;;;;;;
Adrien Truffert;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 1–2;Rennes;Reims;Y;LB;90;0;0;0;0;1;1;1;0;71;3;1;2;0.1;0.1;0.0;2;0;44;3;77.2;9;43;2;3;Match Report;;;;;;;;;;;;;;;;;;
Auston Trusty;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–3;Sheffield Utd;Tottenham;Y;CB,LB;90;0;0;0;0;0;0;0;0;45;0;2;2;0.0;0.0;0.0;0;0;28;1;90.3;2;14;0;1;Match Report;;;;;;;;;;;;;;;;;;
Viktor Tsyhankov;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 3–1;Girona;Valencia;Y;RW;67;0;1;0;0;4;0;0;0;64;0;0;0;0.1;0.1;0.7;6;1;46;2;83.6;6;46;2;2;Match Report;;;;;;;;;;;;;;;;;;
Beñat Turrientes;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–0;Real Sociedad;Betis;Y;CM;66;0;0;0;0;0;0;1;0;36;2;1;0;0.0;0.0;0.0;0;0;24;1;82.8;2;18;2;1;Match Report;;;;;;;;;;;;;;;;;;
Matthieu Udol;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–2;Metz;Paris S-G;Y*;LB;90;0;0;0;0;0;0;1;0;38;0;5;2;0.0;0.0;0.2;4;0;24;1;85.7;3;21;1;1;Match Report;;;;;;;;;;;;;;;;;;
Manuel Ugarte Ribeiro;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–0;Paris S-G;Metz;Y;CM;90;0;0;0;0;3;0;0;0;104;3;0;1;0.2;0.2;0.0;3;0;87;1;93.5;4;90;0;1;Match Report;;;;;;;;;;;;;;;;;;
Lesley Ugochukwu;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Chelsea;Bournemouth;N;DM;27;0;0;0;0;0;0;0;0;18;2;0;1;0.0;0.0;0.1;2;0;14;0;87.5;2;8;2;0;Match Report;;;;;;;;;;;;;;;;;;
Enes Ünal;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Bournemouth;Chelsea;Y;FW;68;0;0;0;0;4;1;0;0;21;0;0;1;0.7;0.7;0.2;1;0;8;0;72.7;1;11;1;0;Match Report;;;;;;;;;;;;;;;;;;
Óscar Valentín;2024-05-19;Sun;La Liga;Matchweek 37;Away;L 0–3;Rayo Vallecano;Barcelona;Y*;DM;61;0;0;0;0;0;0;1;0;25;2;0;1;0.0;0.0;0.0;0;0;14;0;70.0;1;10;0;0;Match Report;;;;;;;;;;;;;;;;;;
Emanuele Valeri;2024-05-19;Sun;Serie A;Matchweek 37;Away;W 1–0;Frosinone;Monza;Y;WB;90;0;0;0;0;2;0;0;0;49;0;2;3;0.0;0.0;0.8;5;0;25;2;69.4;5;19;2;0;Match Report;;;;;;;;;;;;;;;;;;
Martin Valjent;2024-05-19;Sun;La Liga;Matchweek 37;Home;D 2–2;Mallorca;Almería;Y;CB;90;0;0;0;0;2;0;0;0;59;1;2;1;0.1;0.1;0.2;3;0;46;0;92.0;7;39;3;0;Match Report;;;;;;;;;;;;;;;;;;
Álvaro Vallés;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 0–0;Las Palmas;Cádiz;Y;GK;90;;;;0;;;;;;;;;;;;;;5;6;26.3;;;;;Match Report;3;0;3;100.0;1;0.1;0;0;0;39;3;33.3;39.8;16;0;0.0;0;19.0
Federico Valverde;2024-05-19;Sun;La Liga;Matchweek 37;Away;D 4–4;Real Madrid;Villarreal;Y;DM;59;0;0;0;0;1;1;0;0;58;1;1;1;0.0;0.0;0.0;0;0;49;0;94.2;3;40;0;0;Match Report;;;;;;;;;;;;;;;;;;
Kévin Van Den Kerkhof;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;L 0–2;Metz;Paris S-G;Y;RW;73;0;0;0;0;0;0;0;0;13;2;0;1;0.0;0.0;0.1;1;0;4;0;66.7;0;8;0;0;Match Report;;;;;;;;;;;;;;;;;;
Virgil van Dijk;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–0;Liverpool;Wolves;Y*;CB;90;0;0;0;0;5;2;0;0;78;0;3;1;0.2;0.2;0.0;0;0;63;1;94.0;5;43;0;0;Match Report;;;;;;;;;;;;;;;;;;
Raphaël Varane;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–0;Manchester Utd;Brighton;N;CB,DM;22;0;0;0;0;0;0;0;0;11;0;0;1;0.0;0.0;0.0;1;1;9;0;100.0;1;8;0;0;Match Report;;;;;;;;;;;;;;;;;;
José Luis García Vayá;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–3;Valencia;Girona;Y;CM;90;1;0;1;1;1;0;0;0;55;1;3;0;0.8;0.0;0.1;5;0;42;0;91.3;3;24;2;0;Match Report;;;;;;;;;;;;;;;;;;
Matías Vecino;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Lazio;Inter;Y;CM;90;0;0;0;0;1;0;0;0;61;1;1;1;0.1;0.1;0.0;1;0;40;2;81.6;1;33;1;0;Match Report;;;;;;;;;;;;;;;;;;
Alejo Véliz;2024-05-19;Sun;La Liga;Matchweek 37;Away;L 0–2;Sevilla;Athletic Club;N;FW;1;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;0;;0;0;0;0;Match Report;;;;;;;;;;;;;;;;;;
Micky van de Ven;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 3–0;Tottenham;Sheffield Utd;Y;LB;90;0;0;0;0;0;0;0;0;84;1;0;2;0.0;0.0;0.0;2;0;68;2;87.2;12;56;4;0;Match Report;;;;;;;;;;;;;;;;;;
Jordan Veretout;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–1;Marseille;Le Havre;Y;CM;90;0;0;0;0;1;0;0;0;69;2;0;0;0.0;0.0;0.1;6;1;58;0;86.6;9;56;1;0;Match Report;;;;;;;;;;;;;;;;;;
Arthur Vermeeren;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–4;Atlético Madrid;Osasuna;N;CM;20;0;0;0;0;0;0;0;0;12;0;0;0;0.0;0.0;0.0;0;0;9;0;81.8;1;6;0;0;Match Report;;;;;;;;;;;;;;;;;;
Guglielmo Vicario;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 3–0;Tottenham;Sheffield Utd;Y;GK;90;;;;0;;;;;;;;;;;;;;1;2;33.3;;;;;Match Report;1;0;1;100.0;1;0.3;0;0;0;47;6;0.0;15.5;4;1;25.0;2;20.7
Asier Villalibre;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 2–0;Athletic Club;Sevilla;N;FW;9;0;0;0;0;1;1;0;0;5;0;0;0;0.0;0.0;0.0;1;0;3;0;100.0;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Alan Virginius;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–5;Clermont Foot;Lorient;Y;RW,FW;81;0;0;0;0;2;0;0;0;30;4;0;0;0.2;0.2;0.2;2;0;15;0;75.0;3;22;5;0;Match Report;;;;;;;;;;;;;;;;;;
Daniel Vivian;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 2–0;Athletic Club;Sevilla;Y;CB;90;0;0;0;0;0;0;0;0;66;2;1;0;0.0;0.0;0.0;2;0;50;0;87.7;4;47;2;0;Match Report;;;;;;;;;;;;;;;;;;
Alessandro Vogliacco;2024-05-19;Sun;Serie A;Matchweek 37;Away;L 0–1;Genoa;Roma;Y;CB;80;0;0;0;0;0;0;0;0;65;4;3;0;0.0;0.0;0.0;1;0;43;0;84.3;3;35;0;0;Match Report;;;;;;;;;;;;;;;;;;
Elye Wahi;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lens;Montpellier;Y;FW;89;1;1;0;0;7;2;0;0;29;0;0;0;2.0;2.0;1.4;6;0;15;2;93.8;0;21;3;2;Match Report;;;;;;;;;;;;;;;;;;
Sebastian Walukiewicz;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Empoli;Udinese;N;CB;32;0;0;0;0;0;0;0;0;16;1;0;1;0.0;0.0;0.0;0;0;9;0;69.2;0;10;0;0;Match Report;;;;;;;;;;;;;;;;;;
Aaron Wan-Bissaka;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–0;Manchester Utd;Brighton;Y;RB;90;0;0;0;0;0;0;0;0;53;1;2;2;0.0;0.0;0.0;0;0;38;3;95.0;1;23;2;1;Match Report;;;;;;;;;;;;;;;;;;
James Ward-Prowse;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–3;West Ham;Manchester City;Y;CM,AM;90;0;0;0;0;0;0;0;0;33;0;1;0;0.0;0.0;0.1;3;2;27;0;87.1;3;20;0;0;Match Report;;;;;;;;;;;;;;;;;;
Deivid Washington;2024-05-19;Sun;PL2;Semi-finals;Away;L 1–2;Chelsea;Tottenham Hotspur;N;;24;1;0;0;0;;;0;0;;;;;;;;;;;;;;;;;Match Report;;;;;;;;;;;;;;;;;;
Ollie Watkins;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 0–5;Aston Villa;Crystal Palace;Y;FW;67;0;0;0;0;2;0;0;0;15;0;0;0;0.3;0.3;0.0;1;0;9;1;81.8;0;5;1;1;Match Report;;;;;;;;;;;;;;;;;;
Adam Webster;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–2;Brighton;Manchester Utd;Y;CB;90;0;0;0;0;3;0;0;0;92;0;1;4;0.2;0.2;0.0;2;0;77;0;93.9;4;71;1;0;Match Report;;;;;;;;;;;;;;;;;;
Danny Welbeck;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 0–2;Brighton;Manchester Utd;Y;FW;90;0;0;0;0;0;0;0;0;36;6;0;1;0.0;0.0;0.1;2;0;22;1;84.6;0;23;1;0;Match Report;;;;;;;;;;;;;;;;;;
Iñaki Williams;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 2–0;Athletic Club;Sevilla;Y;RW;81;0;0;0;0;3;1;0;0;38;0;0;0;0.6;0.6;0.0;1;1;19;6;79.2;5;31;3;0;Match Report;;;;;;;;;;;;;;;;;;
Harry Wilson;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 4–2;Fulham;Luton Town;Y;RW;90;1;2;0;0;3;1;0;0;43;0;0;0;0.2;0.2;0.5;6;2;30;2;78.9;4;26;2;2;Match Report;;;;;;;;;;;;;;;;;;
Yoane Wissa;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Brentford;Newcastle Utd;Y;LW,AM;83;1;1;0;0;4;1;1;0;28;0;0;1;0.3;0.3;0.2;1;1;14;2;73.7;1;23;1;0;Match Report;;;;;;;;;;;;;;;;;;
Cauley Woodrow;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Luton Town;Fulham;N;FW;15;0;0;0;0;1;1;0;0;6;0;0;2;0.1;0.1;0.0;2;0;2;0;100.0;0;3;0;0;Match Report;;;;;;;;;;;;;;;;;;
Christopher Wooh;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 1–2;Rennes;Reims;Y;CB;90;0;0;0;0;0;0;0;0;93;3;0;0;0.0;0.0;0.0;1;0;79;1;91.9;8;69;1;0;Match Report;;;;;;;;;;;;;;;;;;
Lamine Yamal;2024-05-19;Sun;La Liga;Matchweek 37;Home;W 3–0;Barcelona;Rayo Vallecano;Y;RW;90;0;1;0;0;2;0;1;0;67;1;0;0;0.1;0.1;0.4;6;1;46;10;80.7;4;58;7;4;Match Report;;;;;;;;;;;;;;;;;;
Roman Yaremchuk;2024-05-19;Sun;La Liga;Matchweek 37;Home;L 1–3;Valencia;Girona;N;FW;30;0;0;0;0;2;0;0;0;7;0;0;0;0.8;0.8;0.0;1;0;2;1;100.0;1;3;1;0;Match Report;;;;;;;;;;;;;;;;;;
Yehor Yarmoliuk;2024-05-19;Sun;Premier League;Matchweek 38;Home;L 2–4;Brentford;Newcastle Utd;N;AM;7;0;0;0;0;1;1;0;0;9;0;0;0;0.0;0.0;0.0;0;0;5;2;83.3;0;8;1;1;Match Report;;;;;;;;;;;;;;;;;;
Ryan Yates;2024-05-19;Sun;Premier League;Matchweek 38;Away;W 2–1;Nott'ham Forest;Burnley;Y*;DM;57;0;1;0;0;1;0;0;0;21;1;1;0;0.2;0.2;0.4;2;2;14;0;100.0;0;11;0;0;Match Report;;;;;;;;;;;;;;;;;;
Bertuğ Yıldırım;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 1–2;Rennes;Reims;N;LW,FW;30;0;0;0;0;1;1;0;0;6;0;0;0;0.4;0.4;0.0;0;0;3;0;60.0;0;5;2;0;Match Report;;;;;;;;;;;;;;;;;;
Darlin Yongwa;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;W 5–0;Lorient;Clermont Foot;N;WB;71;0;0;0;0;4;1;0;0;54;0;0;1;0.1;0.1;0.1;4;1;30;3;71.4;3;29;3;1;Match Report;;;;;;;;;;;;;;;;;;
Leny Yoro;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lille;Nice;Y;CB;90;0;0;0;0;1;0;0;0;70;1;1;1;0.0;0.0;0.0;0;0;57;0;95.0;1;57;0;0;Match Report;;;;;;;;;;;;;;;;;;
Ashley Young;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Everton;Arsenal;Y;LB;90;0;0;0;0;0;0;0;0;56;4;0;2;0.0;0.0;0.0;0;0;24;1;53.3;2;20;0;1;Match Report;;;;;;;;;;;;;;;;;;
Illia Zabarnyi;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–2;Bournemouth;Chelsea;Y;CB;90;0;0;0;0;0;0;0;0;50;1;1;3;0.0;0.0;0.0;2;0;33;1;84.6;3;35;0;1;Match Report;;;;;;;;;;;;;;;;;;
Mattia Zaccagni;2024-05-19;Sun;Serie A;Matchweek 37;Away;D 1–1;Lazio;Inter;Y;AM;71;0;0;0;0;2;1;0;0;33;2;1;0;0.1;0.1;0.0;0;0;24;4;88.9;1;18;2;2;Match Report;;;;;;;;;;;;;;;;;;
Yoram Zague;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;W 2–0;Paris S-G;Metz;N;LB;13;0;0;0;0;0;0;0;0;8;0;0;0;0.0;0.0;0.0;0;0;5;0;71.4;0;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
Arsen Zakharyan;2024-05-19;Sun;La Liga;Matchweek 37;Away;W 2–0;Real Sociedad;Betis;N;LM;10;0;0;0;0;0;0;0;0;8;0;0;0;0.0;0.0;0.0;0;0;5;0;71.4;0;5;0;0;Match Report;;;;;;;;;;;;;;;;;;
Joseba Zaldúa;2024-05-19;Sun;La Liga;Matchweek 37;Home;D 0–0;Cádiz;Las Palmas;Y;RB;84;0;0;0;0;0;0;0;0;28;3;1;0;0.0;0.0;0.3;3;0;14;0;56.0;0;17;1;0;Match Report;;;;;;;;;;;;;;;;;;
Gabriele Zappa;2024-05-19;Sun;Serie A;Matchweek 37;Away;W 2–0;Cagliari;Sassuolo;Y;RB;90;0;0;0;0;2;1;0;0;53;1;0;0;0.0;0.0;0.0;0;0;35;0;79.5;5;23;0;0;Match Report;;;;;;;;;;;;;;;;;;
Oier Zarraga;2024-05-19;Sun;Serie A;Matchweek 37;Home;D 1–1;Udinese;Empoli;N;CM;4;0;0;0;0;0;0;0;0;2;0;0;0;0.0;0.0;0.0;0;0;2;0;100.0;0;2;0;0;Match Report;;;;;;;;;;;;;;;;;;
Alessio Zerbin;2024-05-19;Sun;Serie A;Matchweek 37;Home;L 0–1;Monza;Frosinone;N;LB;45;0;0;0;0;0;0;0;0;33;1;0;0;0.0;0.0;0.0;3;0;28;2;93.3;3;19;2;0;Match Report;;;;;;;;;;;;;;;;;;
Nathan Zeze;2024-05-19;Sun;Ligue 1;Matchweek 34;Away;L 0–4;Nantes;Monaco;Y;CB;90;0;0;0;0;0;0;0;0;53;3;1;4;0.0;0.0;0.0;0;0;33;0;82.5;1;30;0;0;Match Report;;;;;;;;;;;;;;;;;;
Edon Zhegrova;2024-05-19;Sun;Ligue 1;Matchweek 34;Home;D 2–2;Lille;Nice;Y;RW;89;0;1;0;0;1;0;0;1;42;3;0;0;0.0;0.0;0.1;4;1;25;3;73.5;4;31;1;1;Match Report;;;;;;;;;;;;;;;;;;
Oleksandr Zinchenko;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Arsenal;Everton;N;LB;32;0;0;0;0;0;0;0;0;45;0;0;0;0.0;0.0;0.1;4;0;38;0;86.4;9;35;1;0;Match Report;;;;;;;;;;;;;;;;;;
Nadir Zortea;2024-05-19;Sun;Serie A;Matchweek 37;Away;W 1–0;Frosinone;Monza;Y;WB;90;0;0;0;0;2;1;0;0;33;0;0;0;0.1;0.1;0.0;1;0;20;5;74.1;4;13;3;4;Match Report;;;;;;;;;;;;;;;;;;
Kurt Zouma;2024-05-19;Sun;Premier League;Matchweek 38;Away;L 1–3;West Ham;Manchester City;Y*;CB;90;0;0;0;0;0;0;0;0;44;0;0;1;0.0;0.0;0.0;0;0;32;0;91.4;0;27;0;0;Match Report;;;;;;;;;;;;;;;;;;
Martin Ødegaard;2024-05-19;Sun;Premier League;Matchweek 38;Home;W 2–1;Arsenal;Everton;Y*;RM;90;0;2;0;0;2;1;0;0;79;1;1;1;0.3;0.3;1.0;13;2;55;1;78.6;14;51;4;0;Match Report;;;;;;;;;;;;;;;;;;
Michel Aebischer;2024-05-20;Mon;Serie A;Matchweek 37;Home;D 3–3;Bologna;Juventus;Y;CM;90;0;0;0;0;1;0;1;0;71;4;0;3;0.0;0.0;0.0;1;0;56;1;91.8;4;45;2;0;Match Report;;;;;;;;;;;;;;;;;;
